OverallQual,GrLivArea,GarageCars,GarageArea,TotalBsmtSF,1stFlrSF,SalePrice
7,1358,2,484,1358,1358,224000
7,1640,2,595,798,798,183000
4,936,2,576,936,936,93000
7,1733,2,433,847,847,225000
6,1489,1,240,778,944,139500
8,1489,2,776,1489,1489,232600
10,2084,3,1220,2078,2084,385000
5,784,0,0,784,784,109500
7,1434,2,527,1454,1434,189000
5,2126,2,538,1013,1160,185000
7,1223,2,480,600,520,147400
6,1392,2,458,1392,1392,166000
7,1200,2,480,600,520,151000
7,1829,2,613,941,941,237000
6,1516,2,472,1516,1516,167000
5,1144,2,456,1144,1144,139950
4,1067,2,436,1067,1067,128000
5,1559,2,812,1559,1559,153500
6,987,1,264,483,483,100000
5,1099,1,352,1099,1099,144000
5,1200,1,240,768,768,130500
6,1482,1,400,672,810,140000
5,1539,2,686,650,958,157500
6,1165,2,490,1127,1165,174900
5,1800,0,0,1800,1800,141000
5,1416,3,720,876,876,153900
5,1701,2,611,1390,1701,171000
7,1775,2,425,740,1006,213000
5,864,1,338,864,864,133500
6,2358,2,360,907,1307,240000
6,1855,2,512,528,1094,187000
6,848,2,420,848,848,131500
8,1456,2,400,1273,1456,215000
7,1646,1,240,918,918,164000
6,1445,2,645,1127,1445,158000
5,1779,2,454,1763,1779,170000
5,1040,1,260,1040,1040,127000
6,1026,2,576,940,1026,147000
6,1481,2,343,702,702,174000
7,1370,2,479,1090,1370,152000
6,2654,2,619,1054,1512,250000
7,1426,1,216,912,912,189950
5,1039,2,504,1039,1039,131500
6,1097,2,480,1040,1097,152000
5,1148,1,672,1148,1148,132500
7,1372,2,529,1372,1372,250580
5,1002,2,902,1002,1002,148500
8,1646,3,870,1638,1646,248900
4,1120,2,544,1040,1120,129000
5,2320,2,672,0,1547,169000
7,1949,2,574,1050,1062,236000
5,894,1,308,894,894,109500
6,1682,2,523,804,804,200500
5,910,2,414,105,910,116000
5,1268,1,288,832,1036,133000
5,1131,1,200,676,676,66500
8,2610,2,550,1184,1184,303477
4,1040,2,648,1064,1040,132250
9,2224,3,738,1462,1462,350000
5,1155,2,576,1109,1155,148000
5,864,1,336,864,864,136500
5,1090,2,450,1090,1090,157000
7,1717,2,400,1156,1187,187500
6,1593,2,389,808,808,178000
4,2230,1,440,795,954,118500
5,892,1,288,892,892,100000
9,1709,2,506,1698,1709,328900
5,1712,2,588,1626,1712,145000
5,1393,1,300,816,872,135500
8,2217,2,621,2217,2217,268000
6,1505,2,505,1505,1505,149500
5,924,2,576,672,672,122900
6,1683,2,440,918,918,172500
6,1068,1,264,1059,1068,154500
5,1383,1,354,1383,1383,165000
5,1535,2,400,0,1535,118858
6,1796,2,483,780,983,140000
4,951,1,327,951,951,106500
5,2240,2,528,0,1120,142953
9,2364,3,820,2330,2364,611657
5,1236,1,288,912,1236,135000
4,858,1,684,858,858,110000
5,1306,1,756,992,1306,153000
7,1509,2,393,783,807,180000
7,1670,3,690,1670,1670,240000
5,902,1,288,876,902,125500
5,1063,1,280,1056,1063,128000
8,1636,3,865,1623,1636,255000
7,2057,1,180,1017,1020,250000
5,902,2,484,864,902,131000
6,1484,2,390,742,742,174000
5,2274,2,480,1105,1105,154300
5,1268,1,252,1268,1268,143500
5,1015,1,450,768,1015,88000
5,2002,3,871,1001,1001,145000
6,1224,2,528,612,612,173733
4,1092,1,286,546,546,75000
2,480,1,308,480,480,35311
4,1229,1,284,1134,1229,135000
7,2127,3,833,1104,912,238000
6,1414,2,601,1184,1414,176500
6,1721,2,471,928,936,201000
5,2200,0,0,1272,1272,145900
6,1316,2,397,1316,1316,169990
6,1617,2,533,1604,1617,193000
6,1686,2,612,1686,1686,207500
5,1126,2,540,1126,1126,175000
8,2374,3,656,1181,1234,285000
7,1978,2,486,832,1098,176000
8,1788,2,522,1753,1788,236500
7,2236,2,642,964,993,222000
8,1466,3,610,1466,1466,201000
5,925,1,429,925,925,117500
9,1905,3,788,1905,1905,320000
7,1500,2,570,1500,1500,190000
7,2069,2,505,585,2069,242000
4,747,2,528,600,747,79900
7,1200,2,555,1176,1200,184900
7,1971,2,689,1113,1113,253000
7,1962,3,868,1391,1391,239799
7,2403,1,349,1032,1207,244400
6,1728,2,574,1728,1728,150900
7,2060,2,390,992,1022,214000
4,1440,0,0,1440,1440,150000
5,1632,2,576,1632,1632,143000
6,1344,2,525,819,1344,137500
5,1869,2,456,1088,1188,124900
5,1144,1,796,1144,1144,143000
8,1629,3,808,1616,1629,270000
7,1776,2,474,936,936,192500
6,1381,2,676,1161,1381,197500
5,864,2,720,864,864,129000
5,965,1,300,828,965,119900
5,768,1,396,768,768,133900
5,1968,2,530,784,1168,172000
6,980,0,0,945,980,127500
6,1958,2,492,979,979,145000
6,1229,2,462,561,561,124000
5,1057,2,576,1057,1057,132000
7,1337,2,531,1337,1337,185000
7,1416,2,484,696,696,155000
5,858,0,0,858,858,116500
6,2872,2,619,1330,1542,272000
6,1548,2,440,804,804,155000
9,1800,2,702,1800,1800,239000
7,1894,2,510,817,824,214900
6,1484,2,393,783,783,178900
5,1308,1,256,728,976,160000
5,1098,1,260,1098,1098,135000
3,968,0,0,600,600,37900
6,1095,1,264,588,1095,140000
4,1192,0,0,720,720,135000
7,1626,2,474,764,764,173000
6,918,1,264,918,918,99500
7,1428,2,480,1428,1428,182000
7,2019,2,532,728,1136,167500
7,1382,2,490,673,673,165000
4,869,0,0,440,869,85500
7,1241,2,569,1241,1241,199900
4,894,2,400,894,894,110000
5,1121,2,480,1121,1121,139000
7,999,2,588,944,999,178400
8,2612,3,676,1225,1276,336000
7,1266,2,388,1266,1266,159895
8,2290,2,779,1128,1149,255900
5,1734,2,539,0,1302,126000
5,1164,1,240,1164,1164,125000
6,1635,1,255,485,1001,117000
9,1940,3,606,1930,1940,395192
6,2030,2,551,848,1118,195000
7,1576,2,614,770,778,197000
8,2392,3,870,1396,1407,348000
8,1742,2,424,916,916,168000
6,1851,2,440,822,1020,187000
6,1500,2,564,750,750,173900
10,1718,3,786,1700,1718,337500
4,1230,1,305,747,774,121600
5,1050,1,368,1050,1050,136500
6,1442,2,615,1442,1442,185000
3,1077,1,210,1007,1077,91000
7,1208,2,632,1187,1208,206000
3,944,2,528,0,944,82000
5,691,1,216,691,691,86000
8,1574,3,824,1574,1574,232000
5,1680,2,528,1680,1680,136905
7,1504,2,457,1346,1504,181000
5,985,1,328,985,985,149900
6,1657,2,484,1657,1657,163500
4,1092,1,286,546,546,88000
7,1710,2,550,1710,1710,240000
5,1522,0,0,1008,1008,102000
5,1271,1,312,720,720,135000
5,1664,0,0,0,1664,100000
6,1502,1,180,602,900,165000
5,1022,1,280,1022,1022,85000
6,1082,1,240,1082,1082,119200
8,1665,2,528,810,810,227000
7,1504,2,478,1504,1504,203000
8,1360,2,565,1220,1360,187500
7,1472,2,402,384,802,160000
7,1506,2,440,1362,1506,213490
4,1132,2,451,1132,1132,176000
7,1220,2,632,1199,1220,194000
5,1248,1,160,912,912,87000
7,1504,2,437,1346,1504,191000
8,2898,2,665,1565,2898,287000
5,882,2,461,882,882,112500
5,1264,2,461,1268,1264,167500
8,1646,3,800,1638,1646,293077
5,1376,1,240,768,968,105000
6,1218,1,264,672,672,118000
5,1928,0,0,686,948,160000
7,3082,2,672,824,1687,197000
8,2520,3,796,1338,1352,310000
7,1654,3,900,1654,1654,230000
5,954,1,240,920,954,119750
4,845,1,290,0,845,84000
9,1620,3,912,1620,1620,315500
8,2263,2,905,1055,1055,287000
4,1344,0,0,546,798,97000
4,630,1,286,630,630,80000
5,1803,2,484,1134,1803,155000
6,1632,2,484,800,800,173000
6,1306,2,624,1306,1306,196000
7,2329,2,514,1475,1532,262280
8,2524,2,542,2524,2524,278000
3,1733,2,452,0,1733,139600
9,2868,3,716,1992,1992,556581
5,990,2,672,990,990,145000
5,1771,2,336,0,1771,115000
4,930,1,308,0,930,84900
7,1302,2,436,1302,1302,176485
7,1316,2,440,1316,1316,200141
6,1977,2,540,816,1127,165000
5,1526,1,364,1216,1526,144500
8,1989,2,586,1065,1091,255000
6,1523,2,478,1193,1523,180000
7,1364,2,484,1364,1364,185850
7,1850,2,467,973,979,248000
9,2184,3,836,1104,1130,335000
6,1991,2,432,854,1096,220000
8,1338,2,582,1338,1338,213500
3,894,3,1248,894,894,81000
5,2337,2,560,662,1422,90000
6,1103,2,440,1103,1103,110500
5,1154,2,480,1154,1154,154000
7,2260,2,533,1306,1306,328000
6,1571,2,380,799,799,178000
6,1611,2,442,780,798,167900
6,2521,2,576,942,1291,151400
5,893,2,576,845,893,135000
5,1048,1,286,1048,1048,135000
6,1556,2,441,727,829,154000
5,1456,1,280,810,1002,91500
6,1426,2,440,690,698,159500
7,1240,3,826,1240,1240,194000
7,1740,1,240,800,960,219500
5,1466,2,566,796,1096,170000
5,1096,1,299,1096,1096,138800
6,848,2,420,848,848,155900
5,990,1,299,990,990,126000
6,1258,2,528,1258,1258,145000
5,1040,1,308,1040,1040,133000
7,1459,2,527,1459,1459,192000
6,1251,1,461,1251,1251,160000
6,1498,2,409,691,691,187500
6,996,2,564,936,996,147000
4,1092,1,286,546,546,83500
8,1953,3,1043,1082,1082,252000
7,1709,2,380,970,970,137500
8,1247,2,550,1247,1247,197000
3,1040,2,400,0,1040,92900
7,1252,2,462,600,624,160000
6,1694,2,576,1181,1390,136500
5,1200,2,884,864,1200,146000
5,936,1,308,936,936,129000
6,1314,2,440,1314,1314,176432
6,1355,0,0,684,773,127000
8,1088,2,461,1074,1088,170000
4,1324,1,240,672,757,128000
7,1601,2,478,1271,1601,157000
2,438,1,246,290,438,60000
5,950,1,280,950,950,119500
5,1134,1,254,1010,1134,135000
6,1194,2,539,655,1194,159500
5,1302,2,440,630,630,106000
8,2622,2,712,1463,1500,325000
7,1442,2,719,910,1442,179900
7,2021,2,422,868,887,274725
6,1690,2,463,924,948,181000
8,1836,3,862,1836,1836,280000
6,1658,2,431,773,773,188000
7,1964,2,483,803,1098,205000
5,816,1,308,816,816,129900
5,1008,1,240,1008,1008,134500
5,833,1,326,833,833,117000
8,1734,3,928,1734,1734,318000
8,1419,2,527,408,779,184100
5,894,2,450,894,894,130000
5,1601,1,300,533,1021,140000
5,1040,1,286,1040,1040,133700
6,1012,1,308,1012,1012,118400
7,1552,3,782,1552,1552,212900
4,960,1,288,672,960,112000
5,698,0,0,698,698,118000
7,1482,2,392,384,812,163900
4,1005,2,672,1005,1005,115000
7,1555,3,660,1373,1555,174000
7,1530,3,630,1530,1530,259000
7,1959,2,434,847,847,215000
5,936,2,672,936,936,140000
4,1981,2,576,1122,1328,135000
5,974,0,0,974,974,93500
6,2210,1,205,1008,1178,117500
8,2020,2,466,1128,1142,239500
6,1600,2,460,916,916,169000
6,986,1,180,960,986,102000
6,1252,1,288,1032,1032,119000
5,1020,0,0,780,780,94000
6,1567,2,714,1567,1567,196000
5,1167,2,495,915,1167,144000
5,952,2,840,952,952,139000
5,1868,2,484,780,1088,197500
8,2828,3,1052,1466,1466,424870
5,1006,0,0,1006,1006,80000
4,924,1,280,672,672,80000
5,1576,1,225,1042,1042,149000
6,1298,2,403,1298,1298,180000
7,1564,1,234,704,860,174500
7,1111,1,288,572,572,116900
7,1482,2,324,650,832,143000
6,932,1,306,932,932,124000
5,1466,2,528,1466,1466,149900
6,1811,2,470,1073,1811,230000
6,816,1,432,816,816,120500
7,1820,2,492,864,902,201800
5,1437,2,528,1437,1437,218000
5,1265,2,502,1219,1265,179900
7,1314,2,626,1314,1314,230000
8,1580,3,830,1580,1580,235128
6,1876,2,540,901,943,185000
6,1456,2,440,855,855,146000
6,1640,2,924,1296,1640,224000
5,894,2,450,894,894,129000
4,1258,2,400,1198,1258,108959
5,1432,2,588,1360,1432,194000
7,1502,2,644,1502,1502,233170
8,1694,3,776,1694,1694,245350
6,1671,2,472,959,959,173000
6,2108,2,540,1127,1236,235000
10,3627,3,807,1930,1831,625000
6,1118,1,358,1096,1118,171000
6,1261,2,433,1261,1261,163000
7,1250,2,625,625,625,171900
5,3086,0,0,1598,1636,200500
6,2345,2,360,952,1170,239000
8,2872,2,541,1683,2129,285000
5,923,1,264,876,923,119500
6,1224,1,210,818,818,115000
5,1343,1,186,731,820,154900
5,1124,0,0,0,1124,93000
7,2514,2,693,1216,1298,250000
8,1652,2,482,1600,1652,392500
10,4476,3,813,2396,2411,745000
5,1130,2,720,1120,1130,120000
5,1572,3,995,1572,1572,186700
5,1221,1,392,784,949,104900
3,1699,2,420,978,1014,95000
8,1624,3,757,1624,1624,262000
7,1660,2,493,831,831,195000
7,1804,2,442,994,1028,189000
4,1622,4,1356,1249,1622,168000
8,1441,2,492,776,764,174000
5,1472,1,250,702,842,125000
6,1224,2,402,1224,1224,165000
6,1352,1,299,663,663,158000
6,1456,2,400,728,728,176000
7,1863,3,660,879,879,219210
7,1690,1,225,815,815,144000
7,1212,2,573,1212,1212,178000
4,1382,2,459,1051,1382,148000
4,864,1,280,864,864,116050
7,1779,2,546,866,866,197900
5,1348,1,216,884,884,117000
7,1630,2,451,1630,1630,213000
5,1074,2,495,1056,1074,153500
7,2196,3,701,2158,2196,271900
4,1056,1,384,1056,1056,107000
6,1700,2,544,1682,1700,200000
5,1283,2,506,931,1283,140000
8,1660,2,500,1660,1660,290000
6,1845,2,462,1055,1055,189000
8,1752,2,492,559,1080,164000
4,672,1,234,672,672,113000
4,960,1,364,648,960,145000
5,999,1,300,925,999,134500
5,894,1,384,894,894,125000
6,1902,2,539,0,1318,112000
8,1314,2,552,1300,1314,229456
4,912,0,0,0,672,80500
6,1218,0,0,672,672,91500
5,912,1,288,912,912,115000
5,1211,1,322,952,1211,134000
6,1846,1,315,1040,1168,143000
5,2136,2,528,2136,2136,137900
7,1490,2,388,788,788,184000
6,1138,1,264,588,1138,145000
6,1933,3,668,894,894,214000
5,912,2,576,912,912,147000
9,1702,3,1052,1702,1702,367294
5,1507,1,404,1075,1507,127000
5,2620,2,600,1361,1361,190000
5,1190,2,540,1106,1190,132500
4,1224,2,462,0,1224,101800
5,1188,2,531,1188,1188,142000
5,1964,0,0,940,1024,130000
5,1784,1,180,747,892,138887
7,1626,2,474,764,764,175500
7,1948,2,434,847,847,195000
6,1141,2,484,1141,1141,142500
8,1484,2,472,1476,1484,265900
7,1768,2,543,884,884,224900
7,1689,3,954,1689,1689,248328
7,1173,2,528,1053,1173,170000
10,2076,3,850,2076,2076,465000
8,1517,2,400,792,792,230000
6,1868,2,477,585,1140,178000
7,1553,2,615,756,756,186500
6,1034,3,888,1012,1034,169900
6,2058,2,396,735,1134,129500
5,988,1,276,876,988,119000
7,2110,2,522,2110,2110,244000
7,1405,2,478,1405,1405,171750
5,874,1,288,864,874,130000
7,2167,2,518,1192,1516,294000
7,1656,2,397,746,760,165400
6,1367,1,560,884,959,127500
8,1987,2,691,1986,1987,301500
5,864,0,0,864,864,99900
7,1166,2,400,856,1166,190000
6,1054,2,460,1054,1054,151000
6,1675,2,502,841,892,181000
5,1050,1,338,1050,1050,128900
4,1788,1,304,1104,1104,161500
6,1824,2,520,764,1060,180500
6,1337,2,511,1405,1337,181000
7,1452,2,506,691,713,183900
7,1889,1,308,925,964,122000
9,2018,3,746,2002,2018,378500
8,3447,3,1014,728,1968,381000
5,1524,1,315,874,874,144000
7,1524,2,586,1332,1332,260000
6,1489,2,462,1489,1489,185750
5,935,1,288,935,935,137000
6,1357,1,312,1019,1357,177000
5,1250,2,552,661,661,139000
5,1920,2,400,928,928,137000
6,1395,2,497,723,735,162000
6,1724,2,480,1680,1724,197900
8,2031,2,577,1128,1128,237000
4,1128,2,528,698,698,68400
7,1573,2,544,1573,1573,227000
7,1339,2,484,1309,1339,180000
5,1040,2,484,1040,1040,150500
6,1824,0,0,912,912,139000
6,2447,1,336,804,1699,169000
6,1412,1,280,780,825,132500
6,1328,2,528,1328,1328,143000
5,1582,2,390,1624,1582,190000
8,1659,2,499,1501,1659,278000
8,1970,3,753,1085,1120,281000
5,1152,2,484,1152,1152,180500
5,1302,1,264,630,630,119500
5,2372,1,432,994,1378,107500
7,1664,2,528,832,832,162900
5,864,2,572,864,864,115000
5,1052,1,288,1052,1052,138500
5,1128,2,525,1120,1128,155000
6,1072,2,525,547,1072,140000
10,5642,2,1418,6110,4692,160000
5,1246,1,305,1246,1246,154000
7,1983,2,490,978,1005,225000
6,1494,1,213,771,753,177500
8,2526,3,844,1165,1203,290000
7,1616,3,834,1616,1616,232000
7,1708,2,380,976,976,130000
9,1652,2,840,1652,1652,325000
7,1368,2,474,1368,1368,202500
5,990,2,480,990,990,138000
5,1122,2,528,924,1122,147000
6,1294,2,496,1278,1294,179200
7,1902,2,567,1902,1902,335000
7,1274,2,508,1274,1274,203000
8,2810,2,750,1453,1453,302000
9,2599,3,779,1393,1422,333168
4,948,1,280,948,948,119000
6,2112,2,576,952,1092,206900
8,1630,3,860,1622,1630,295493
7,1352,2,466,1352,1352,208900
8,1787,3,748,1753,1787,275000
4,948,1,248,864,948,111000
6,1478,2,442,1478,1478,156500
3,720,1,287,0,720,72500
7,1923,2,564,750,1061,190000
4,708,0,0,420,708,82500
8,1795,3,895,1795,1795,147000
4,796,0,0,796,796,55000
3,774,0,0,544,774,79000
5,816,1,264,816,816,130500
6,2792,2,520,1510,1584,256000
7,1632,2,462,935,955,176500
8,1588,3,825,1588,1588,227000
5,954,2,576,911,954,132500
4,816,1,288,816,816,100000
5,1360,1,297,803,803,125500
5,1365,2,440,765,765,125000
6,1334,2,630,1350,1334,167900
5,1656,2,506,1656,1656,135000
4,693,0,0,693,693,52500
7,1861,2,492,916,920,200000
5,864,1,288,864,864,128500
4,872,4,480,858,872,123000
6,1114,2,576,1114,1114,155000
8,2169,2,647,1284,1284,228500
6,1913,2,342,896,1172,177000
7,1456,2,440,728,728,155835
4,960,1,308,960,960,108500
7,2156,2,508,1568,2156,262500
8,1776,3,712,1732,1776,283463
7,1494,2,514,1482,1494,215000
8,2358,0,0,684,938,122000
5,2634,4,968,1248,1338,200000
6,1716,2,490,858,858,171000
6,1176,2,624,698,786,134900
8,3238,3,666,2033,2053,410000
7,1865,3,839,992,992,235000
7,1920,2,487,570,1222,170000
5,892,1,264,864,892,110000
5,1078,2,500,1078,1078,149900
6,1573,2,440,756,769,177500
9,1980,3,770,1980,1980,315000
5,2601,2,621,612,990,189000
7,1530,2,430,1530,1530,260000
4,1738,1,368,715,1281,104900
6,1412,2,432,616,616,156932
7,1200,2,480,600,520,144152
7,1674,2,663,814,814,216000
7,1790,2,588,873,882,193000
5,1475,1,336,757,925,127000
6,848,2,420,848,848,144000
8,1668,2,502,1657,1668,232000
4,1374,1,338,840,840,105000
6,1661,1,377,992,1661,165500
7,2097,2,583,1108,1108,274300
10,2633,3,804,2633,2633,466500
7,1958,3,936,1026,1026,250000
8,1571,3,722,1571,1571,239000
6,790,1,160,768,790,91000
5,1604,2,660,984,984,117000
6,987,1,264,483,483,83000
5,1394,2,400,384,754,167500
3,864,1,200,864,864,58500
6,2117,2,550,1205,2117,237500
7,1762,2,576,596,998,157000
5,1416,2,576,816,1416,112000
6,1258,1,280,560,698,105000
4,1154,1,240,796,796,125500
7,2784,2,564,1392,1392,250000
6,2526,1,216,714,1664,136000
9,1746,3,758,1746,1746,377500
6,1218,2,440,735,869,131000
7,1525,2,541,1525,1525,235000
5,1584,3,792,1584,1584,124000
5,900,1,288,864,900,123000
6,1912,2,672,482,1221,163000
7,1500,3,648,1356,1500,246578
8,2482,3,642,1094,1133,281213
5,1687,2,572,747,1687,160000
5,1513,1,180,939,939,137500
5,1904,1,240,1208,1136,138000
6,1608,1,216,976,1160,137450
6,1158,1,208,862,950,120000
6,1593,2,398,839,864,193000
7,1294,2,662,1286,1294,193879
8,1464,3,754,1485,1464,282922
3,1214,3,936,672,694,105000
8,1646,2,482,1594,1646,275000
5,768,2,396,768,768,133000
5,833,0,0,833,833,112000
4,1363,2,528,622,741,125500
7,2093,2,542,791,1236,215000
7,1840,2,622,944,944,230000
6,1668,1,271,856,1112,140000
4,1040,2,420,0,1040,90000
8,1844,2,620,1844,1844,257000
6,1848,2,370,833,1053,207000
7,1569,3,660,1386,1569,175900
4,2290,2,560,777,1246,122500
8,2450,3,1069,1284,1310,340000
5,1144,1,336,1144,1144,124000
6,1844,2,540,1844,1844,223000
6,1416,2,776,708,708,179900
6,1069,2,440,1069,1069,127500
6,848,2,420,848,848,136500
6,2201,2,432,697,1575,274970
5,1344,1,484,1024,1344,144000
6,1252,2,528,1252,1252,142000
7,2127,2,525,1223,1223,271000
5,1558,1,288,913,1048,140000
5,804,1,240,788,804,119000
6,1440,2,467,1440,1440,182900
5,1838,2,372,732,734,192140
6,958,2,440,958,958,143750
4,968,1,216,656,968,64500
6,1792,2,451,936,962,186500
5,1126,2,484,1126,1126,160000
6,1537,2,462,1319,1537,174000
4,864,2,528,864,864,120500
8,1932,3,774,1932,1932,394617
6,1236,2,923,912,1236,149700
7,1725,2,550,539,1040,197000
6,2555,2,672,588,1423,191000
6,848,2,420,848,848,149300
10,2007,3,812,1017,1026,310000
6,952,1,192,952,952,121000
7,1422,2,626,1422,1422,179600
6,913,1,240,814,913,129000
5,1188,1,312,1188,1188,157900
8,2090,2,556,1220,1220,240000
4,1346,1,384,560,796,112000
5,630,0,0,630,630,92000
5,1792,0,0,896,896,136000
8,1578,3,840,1573,1578,287090
5,1072,2,525,547,1072,145000
5,1140,0,0,1140,1140,84500
7,1221,2,400,1221,1221,185000
6,1647,2,460,953,953,175000
6,2073,2,500,1542,2073,210000
7,2340,1,252,1152,1188,266500
5,1078,1,240,1078,1078,142125
5,1256,1,276,1256,1256,147500
